iata_code,name,municipality,iso_country,continent,latitude_deg,longitude_deg
FRA,Frankfurt am Main Airport,Frankfurt am Main,DE,EU,50.033333,8.570556
FRL,Forlì Airport,Forlì (FC),IT,EU,44.194801,12.0701
FRO,Florø Airport,Florø,NO,EU,61.58359909,5.024720192
FSC,Figari Sud-Corse Airport,Figari Sud-Corse,FR,EU,41.50059891,9.097780228
FUE,Fuerteventura Airport,Fuerteventura Island,ES,EU,28.45269966,-13.86380005
GCI,Guernsey Airport,Saint Peter Port,GG,EU,49.43500137,-2.601969957
GDN,Gdańsk Lech Wałęsa Airport,Gdańsk,PL,EU,54.37760162,18.46619987
GDZ,Gelendzhik Airport,Gelendzhik,RU,EU,44.58209263,38.01248074
GEV,Gällivare Airport,Gällivare,SE,EU,67.13240051,20.81459999
GIB,Gibraltar Airport,Gibraltar,GI,EU,36.15119934,-5.34965992
FIE,Fair Isle Airport,Fair Isle,GB,EU,59.53580093,-1.628059983
GME,Gomel Airport,Gomel,BY,EU,52.52700043,31.01670074
GMZ,La Gomera Airport,"Alajero, La Gomera Island",ES,EU,28.02960014,-17.21459961
GNA,Hrodna Airport,Hrodna,BY,EU,53.60200119,24.05380058
GNB,Grenoble-Isère Airport,Grenoble/Saint-Geoirs,FR,EU,45.36289978,5.329370022
GOA,Genoa Cristoforo Colombo Airport,Genova,IT,EU,44.4133,8.8375
GOJ,Nizhny Novgorod Strigino International Airport,Nizhny Novgorod,RU,EU,56.23009872,43.7840004
GOT,Gothenburg-Landvetter Airport,Gothenburg,SE,EU,57.66279984,12.27980042
GPA,Araxos Airport,Patras,GR,EU,38.1511,21.4256
GRO,Girona Airport,Girona,ES,EU,41.90100098,2.760550022
GRQ,Eelde Airport,Groningen,NL,EU,53.11970139,6.579440117
GRV,Grozny North Airport,Grozny,RU,EU,43.388302,45.698601
GRW,Graciosa Airport,Santa Cruz da Graciosa,PT,EU,39.09220123,-28.02980042
GRX,Federico Garcia Lorca Airport,Granada,ES,EU,37.18870163,-3.777359962
GRY,Grímsey Airport,Grímsey,IS,EU,66.5458,-18.0173
GRZ,Graz Airport,Graz,AT,EU,46.99110031,15.43959999
GVA,Geneva Cointrin International Airport,Geneva,CH,EU,46.23809814,6.108950138
GWT,Westerland Sylt Airport,Westerland,DE,EU,54.91320038,8.340470314
GWY,Galway Airport,Galway,IE,EU,53.30020142,-8.941590309
GZM,Xewkija Heliport,Gozo,MT,EU,36.027199,14.2728
HAA,Hasvik Airport,Hasvik,NO,EU,70.48670197,22.13969994
HAD,Halmstad Airport,Halmstad,SE,EU,56.69110107,12.82019997
HAJ,Hannover Airport,Hannover,DE,EU,52.46110153,9.685079575
HAM,Hamburg Airport,Hamburg,DE,EU,53.63040161,9.988229752
HAU,Haugesund Airport,Karmøy,NO,EU,59.34529877,5.208360195
HDF,Heringsdorf Airport,Heringsdorf,DE,EU,53.87870026,14.15229988
HEI,Heide-Büsum Airport,Büsum,DE,EU,54.15333176,8.901666641
HEL,Helsinki Vantaa Airport,Helsinki,FI,EU,60.31719971,24.9633007
HER,Heraklion International Nikos Kazantzakis Airport,Heraklion,GR,EU,35.33969879,25.18029976
HFN,Hornafjörður Airport,Höfn,IS,EU,64.295601,-15.2272
HFT,Hammerfest Airport,Hammerfest,NO,EU,70.67970276,23.66860008
HGL,Helgoland-Düne Airport,Helgoland,DE,EU,54.18527985,7.915832996
HHN,Frankfurt-Hahn Airport,Frankfurt am Main,DE,EU,49.9487,7.26389
HOQ,Hof-Plauen Airport,Hof,DE,EU,50.28861237,11.85638905
HOR,Horta Airport,Horta,PT,EU,38.51990128,-28.71590042
HRK,Kharkiv International Airport,Kharkiv,UA,EU,49.92480087,36.29000092
HTA,Chita-Kadala Airport,Chita,RU,EU,52.026299,113.306
FOA,Foula Airfield,Foula,GB,EU,60.121725,-2.053202
HVG,Valan Airport,Honningsvåg,NO,EU,71.00969696,25.98360062
HZK,Húsavík Airport,Húsavík,IS,EU,65.952301,-17.426001
IAS,Iaşi Airport,Iaşi,RO,EU,47.17850113,27.62059975
IBZ,Ibiza Airport,Ibiza,ES,EU,38.8728981,1.37311995
IDY,Île d'Yeu Airport,Île d'Yeu,FR,EU,46.71860123,-2.391109943
IEG,Zielona Góra-Babimost Airport,Babimost,PL,EU,52.13850021,15.7986002
IEV,Kiev Zhuliany International Airport,Kiev,UA,EU,50.40194,30.45194
IFO,Ivano-Frankivsk International Airport,Ivano-Frankivsk,UA,EU,48.88420105,24.68610001
IGT,Magas Airport,Magas,RU,EU,43.32229996,45.01259995
IIA,Inishmaan Aerodrome,Inis Meáin,IE,EU,53.0929985,-9.568059921
IJK,Izhevsk Airport,Izhevsk,RU,EU,56.8280983,53.45750046
ILD,Lleida-Alguaire Airport,Lleida,ES,EU,41.728185,0.535023
GLA,Glasgow International Airport,Glasgow,GB,EU,55.871899,-4.43306
INI,Nis Airport,Nis,RS,EU,43.337299,21.853701
INN,Innsbruck Airport,Innsbruck,AT,EU,47.260201,11.344
INQ,Inisheer Aerodrome,Inis Oírr,IE,EU,53.06470108,-9.510899544
PIK,Glasgow Prestwick Airport,Glasgow,GB,EU,55.50939941,-4.586669922
IOA,Ioannina Airport,Ioannina,GR,EU,39.69639969,20.82250023
IOM,Isle of Man Airport,Castletown,IM,EU,54.08330154,-4.623889923
IOR,Inishmore Aerodrome,Inis Mór,IE,EU,53.1067009,-9.653610229
HUY,Humberside Airport,Grimsby,GB,EU,53.57440186,-0.350832999
ITU,Iturup Airport,Kurilsk,RU,EU,45.256389,147.95549
IVL,Ivalo Airport,Ivalo,FI,EU,68.6072998,27.40530014
IWA,Ivanovo South Airport,Ivanovo,RU,EU,56.93939972,40.94079971
JCA,Croisette Heliport,Cannes,FR,EU,43.5359993,7.037360191
JCU,Ceuta Heliport,Ceuta,ES,EU,35.89279938,-5.306389809
JER,Jersey Airport,Saint Helier,JE,EU,49.207901,-2.195509911
JIK,Ikaria Airport,Ikaria Island,GR,EU,37.68270111,26.3470993
JKG,Jönköping Airport,Jönköping,SE,EU,57.75759888,14.06869984
JKH,Chios Island National Airport,Chios Island,GR,EU,38.34320068,26.1406002
JKL,Kalymnos Airport,Kalymnos Island,GR,EU,36.9632988,26.94059944
JMK,Mikonos Airport,Mykonos Island,GR,EU,37.43510056,25.34810066
JNX,Naxos Airport,Naxos Island,GR,EU,37.08110046,25.36809921
JOE,Joensuu Airport,Joensuu / Liperi,FI,EU,62.66289902,29.60750008
JOK,Yoshkar-Ola Airport,Yoshkar-Ola,RU,EU,56.70059967,47.90470123
JSH,Sitia Airport,Crete Island,GR,EU,35.21609879,26.10129929
JSI,Skiathos Island National Airport,Skiathos,GR,EU,39.17710114,23.50370026
JSY,Syros Airport,Syros Island,GR,EU,37.42279816,24.95089912
JTR,Santorini Airport,Santorini Island,GR,EU,36.39920044,25.47929955
JTY,Astypalaia Airport,Astypalaia Island,GR,EU,36.57989883,26.37579918
JYV,Jyvaskyla Airport,Jyväskylän Maalaiskunta,FI,EU,62.3995018,25.67830086
KAJ,Kajaani Airport,Kajaani,FI,EU,64.28549957,27.69239998
KAO,Kuusamo Airport,Kuusamo,FI,EU,65.98760223,29.23940086
KBP,Boryspil International Airport,Kiev,UA,EU,50.34500122,30.8946991
KDL,Kärdla Airport,Kärdla,EE,EU,58.99079895,22.83069992
KEL,Kiel-Holtenau Airport,Kiel,DE,EU,54.37944412,10.14527798
KEM,Kemi-Tornio Airport,Kemi / Tornio,FI,EU,65.77870178,24.58209991
KGD,Khrabrovo Airport,Kaliningrad,RU,EU,54.88999939,20.59259987
KGS,Kos Airport,Kos Island,GR,EU,36.79330063,27.0916996
KHE,Kherson International Airport,Kherson,UA,EU,46.6758,32.506401
KID,Kristianstad Airport,Kristianstad,SE,EU,55.92169952,14.08549976
KIR,Kerry Airport,Killarney,IE,EU,52.18090057,-9.523779869
KIT,Kithira Airport,Kithira Island,GR,EU,36.27429962,23.0170002
KIV,Chişinău International Airport,Chişinău,MD,EU,46.92770004,28.93099976
KJA,Yemelyanovo Airport,Krasnoyarsk,RU,EU,56.172901,92.493301
KKN,Kirkenes Airport (Høybuktmoen),Kirkenes,NO,EU,69.72579956,29.8913002
KLU,Klagenfurt Airport,Klagenfurt am Wörthersee,AT,EU,46.642502,14.3377
KLV,Karlovy Vary International Airport,Karlovy Vary,CZ,EU,50.20299911,12.91499996
KLX,Kalamata Airport,Kalamata,GR,EU,37.06829834,22.02549934
KMW,Kostroma Sokerkino Airport,Kostroma,RU,EU,57.7969017,41.01940155
OUK,Outer Skerries Airport,Grunay Island,GB,EU,60.4252,-0.75
KOK,Kokkola-Pietarsaari Airport,Kokkola / Kruunupyy,FI,EU,63.72119904,23.14310074
KRF,Kramfors Sollefteå Airport,Kramfors / Sollefteå,SE,EU,63.04859924,17.76889992
KRK,Kraków John Paul II International Airport,Kraków,PL,EU,50.077702,19.7848
KRN,Kiruna Airport,Kiruna,SE,EU,67.8219986,20.33679962
KRP,Karup Airport,Karup,DK,EU,56.29750061,9.124629974
KRR,Krasnodar Pashkovsky International Airport,Krasnodar,RU,EU,45.03469849,39.17050171
KRS,Kristiansand Airport,Kjevik,NO,EU,58.204201,8.08537
KSC,Košice Airport,Košice,SK,EU,48.6631012,21.24110031
KSD,Karlstad Airport,Karlstad,SE,EU,59.44469833,13.33740044
KSF,Kassel-Calden Airport,Kassel,DE,EU,51.417273,9.384967
KSJ,Kasos Airport,Kasos Island,GR,EU,35.42139816,26.90999985
KSO,Kastoria National Airport,Kastoria,GR,EU,40.44630051,21.28219986
KSU,Kristiansund Airport (Kvernberget),Kvernberget,NO,EU,63.11180115,7.824520111
KSZ,Kotlas Airport,Kotlas,RU,EU,61.2358017,46.69749832
KTT,Kittilä Airport,Kittilä,FI,EU,67.7009964,24.84679985
KTW,Katowice International Airport,Katowice,PL,EU,50.4743,19.08
KUF,Kurumoch International Airport,Samara,RU,EU,53.50490189,50.16429901
KUN,Kaunas International Airport,Kaunas,LT,EU,54.96390152,24.08480072
KUO,Kuopio Airport,Kuopio / Siilinjärvi,FI,EU,63.00709915,27.79780006
KVA,Alexander the Great International Airport,Kavala,GR,EU,40.91329956,24.61919975
KVM,Markovo Airport,Markovo,RU,EU,64.667,170.417007
KVX,Pobedilovo Airport,Kirov,RU,EU,58.50329971,49.34830093
KWG,Kryvyi Rih International Airport,Kryvyi Rih,UA,EU,48.04330063,33.20999908
KZI,Filippos Airport,Kozani,GR,EU,40.28609848,21.84079933
KZN,Kazan International Airport,Kazan,RU,EU,55.60620117,49.27870178
KZS,Kastelorizo Airport,Kastelorizo Island,GR,EU,36.14170074,29.57640076
LAI,Lannion-Côte de Granit Airport,Lannion,FR,EU,48.754398,-3.47166
CEG,Hawarden Airport,Hawarden,GB,EU,53.17810059,-2.977780104
LBC,Lübeck Blankensee Airport,Lübeck,DE,EU,53.80540085,10.71920013
